Product Name,Price,Product URL
Oppo A31 (CPH2015) - 6.5 Inches Display - 8GB RAM - 256GB ROM (128GB Usable + 128GB System Reserved) - Dual SIM (Official PTA Approved) - 12MP+2MP+8MP Camera - Mix Color (Phone with Box - No Accessories Included),"Rs. 19,999",https://www.daraz.pk/products/31-2015-65-8-256-128-128-12-2-8-i940417435.html
Redmi Note 15 Pro 8GB 256GB,"Rs. 94,999",https://www.daraz.pk/products/redmi-note-15-pro-8gb-256gb-i1949690778.html
realme C75x | 6GB RAM + 128GB ROM,"Rs. 43,999",https://www.daraz.pk/products/realme-c75x-6gb-ram-128gb-rom-i751347263.html
Motorola Edge 5G UW 2021 | 256GB Storage | 8GB RAM | 6.8″ Display | 108MP Camera | Official PTA Approved Smart Phone,"Rs. 47,916",https://www.daraz.pk/products/5-2021-256-8-68-108mp-i1947077376.html
Samsung Galaxy A07 6GB+128GB PTA APPROVED,"Rs. 36,999",https://www.daraz.pk/products/samsung-galaxy-a07-6gb128gb-pta-approved-i924786211.html
Redmi Note 15 8GB 128GB,"Rs. 69,999",https://www.daraz.pk/products/redmi-note-15-8gb-128gb-i1949696692.html
Vivo Y19 - 6.53 Inches IPS LCD Display - 8GB RAM - 256GB Storage - Official PTA Approved - Fingerprint Sensor - Helio P65 Processor - (Phone and Box. No Charger and No Accessories Included - Mix Color),"Rs. 20,999",https://www.daraz.pk/products/vivo-y19-653-inches-ips-lcd-display-8gb-ram-256gb-storage-official-pta-approved-fingerprint-sensor-helio-p65-processor-phone-and-box-no-charger-and-no-accessories-included-mix-color-i491993927.html
Moto Stylus 2024 5G - 6.7 Inches Full FHD+ Display - 8GB RAM 128GB ROM - PTA Approved Dual Sim (Physical + E-sim) - Snapdragon 6 Gen 1 - In-Screen Fingerprint Sensor - Mix Color (Phone Only - Box Charger Accessoires Not Included),"Rs. 39,999",https://www.daraz.pk/products/2024-5g-67-8-128-6-1-i1951604652.html
Aquos Zero 2 | 256GB ROM | 8GB RAM | Snapdragon 855 | 3130 mAh Battery | 20 MP Camera | Official PTA Approved | Gaming Phone,"Rs. 35,332",https://www.daraz.pk/products/2-1-gb-8gb-256-mah-20-pta-i377428033.html
"Vivo Y51 | 4GB Ram 64GB Storage | Dual Sim | 4G Support | 3000 MAH Battery | Pocket Size Phone | Best For Hotspot Mobile | PTA Approve | Memory Card Support | Vivo Mobile Phone | Budget Phone | Box, Charger Sim Injector & Phone","Rs. 8,280",https://www.daraz.pk/products/51-4-64-4g-3000-i1952144562.html
Nothing Phone 3A Pro 12/256GB - PTA Approved - Free CMF Watch Pro - Nothing Phone,"Rs. 173,899",https://www.daraz.pk/products/3a-12256gb-pta-cmf-i941763638.html
Samsung Galaxy Z Fold 3 12GB RAM 256 GB ROM || FOLDABLE MOBILE PHONE || ONE YEAR BRAND WARRANTY,"Rs. 300,000",https://www.daraz.pk/products/z-3-12gb-256-gb-i358494895.html
realme C85 Pro | 8GB RAM + 256GB ROM (Get Free Gift Selfie Stick),"Rs. 64,999",https://www.daraz.pk/products/realme-c85-pro-8gb-ram-256gb-rom-get-free-gift-selfie-stick-i940339315.html
Motorola | Moto G 5G 2024 | 128GB Storage | 4GB RAM | Snapdragon 4 Gen 1 | 5000mAh Battery | 6.6″ IPS LCD Display | Non PTA Approved (SIM Lock) | Mobile Phone,"Rs. 19,999",https://www.daraz.pk/products/5-2024-128-4-4-1-5000mah-66-i1951245151.html
